Date,Day,Cummulative total Cases,Cummulative total Deaths,Cummulative total recovered
1-Mar-20,1,3,0,0
2-Mar-20,2,5,0,0
3-Mar-20,3,6,0,0
4-Mar-20,4,28,0,0
5-Mar-20,5,30,0,0
6-Mar-20,6,31,0,0
7-Mar-20,7,34,0,0
8-Mar-20,8,39,0,0
9-Mar-20,9,44,0,0
10-Mar-20,10,50,0,3
11-Mar-20,11,60,0,3
12-Mar-20,12,74,1,3
13-Mar-20,13,81,2,10
14-Mar-20,14,84,2,10
15-Mar-20,15,110,2,13
16-Mar-20,16,114,2,13
17-Mar-20,17,137,3,14
18-Mar-20,18,151,3,14
19-Mar-20,19,173,4,20
20-Mar-20,20,223,4,23
21-Mar-20,21,315,4,23
22-Mar-20,22,360,7,24
23-Mar-20,23,468,9,35
24-Mar-20,24,519,10,40
25-Mar-20,25,606,10,43
26-Mar-20,26,694,16,45
27-Mar-20,27,834,19,67
28-Mar-20,28,918,19,80
29-Mar-20,29,1024,27,96
30-Mar-20,30,1251,32,102
31-Mar-20,31,1397,35,124
1-Apr-20,32,1834,41,144
2-Apr-20,33,2069,53,156
3-Apr-20,34,2547,62,163
4-Apr-20,35,3072,75,213
5-Apr-20,36,3577,83,275
6-Apr-20,37,4281,111,319
7-Apr-20,38,4789,124,353
8-Apr-20,39,5274,149,411
9-Apr-20,40,5865,169,478
10-Apr-20,41,6761,206,516
11-Apr-20,42,7529,242,653
12-Apr-20,43,8447,273,765
13-Apr-20,44,9352,324,980
14-Apr-20,45,10815,353,1190
15-Apr-20,46,11933,392,1344
16-Apr-20,47,12759,420,1515
17-Apr-20,48,13835,452,1767
18-Apr-20,49,14792,488,2015
19-Apr-20,50,16116,519,2302
20-Apr-20,51,17656,559,2842
21-Apr-20,52,18985,603,3260
22-Apr-20,53,20471,652,3960
23-Apr-20,54,21700,686,4325
24-Apr-20,55,23452,723,4814
25-Apr-20,56,24942,779,5210
26-Apr-20,57,26917,826,5914
27-Apr-20,58,28380,886,6362
28-Apr-20,59,29974,937,7027
29-Apr-20,60,31787,1008,7797
30-Apr-20,61,33610,1075,8337
1-May-20,62,35365,1152,9065
2-May-20,63,37776,1223,10018
3-May-20,64,40263,1306,10887
4-May-20,65,42836,1389,11762
5-May-20,66,46711,1583,13161
6-May-20,67,49391,1694,14183
7-May-20,68,52952,1783,15267
8-May-20,69,56342,1886,16540
9-May-20,70,59662,1981,17847
10-May-20,71,62939,2109,19358
11-May-20,72,67152,2206,20917
12-May-20,73,70756,2293,22455
