Date,Day,Cummulative total Cases,Cummulative total Deaths,Cummulative total recovered
01-Mar-20,1,3,0,0
02-Mar-20,2,5,0,0
03-Mar-20,3,6,0,0
04-Mar-20,4,28,0,0
05-Mar-20,5,30,0,0
06-Mar-20,6,31,0,0
07-Mar-20,7,34,0,0
08-Mar-20,8,39,0,0
09-Mar-20,9,44,0,0
10-Mar-20,10,50,0,3
11-Mar-20,11,60,0,3
12-Mar-20,12,74,1,3
13-Mar-20,13,81,2,10
14-Mar-20,14,84,2,10
15-Mar-20,15,110,2,13
16-Mar-20,16,114,2,13
17-Mar-20,17,137,3,14
18-Mar-20,18,151,3,14
19-Mar-20,19,173,4,20
20-Mar-20,20,223,4,23
21-Mar-20,21,315,4,23
22-Mar-20,22,360,7,24
23-Mar-20,23,468,9,35
24-Mar-20,24,519,10,40
25-Mar-20,25,606,10,43
26-Mar-20,26,694,16,45
27-Mar-20,27,834,19,67
28-Mar-20,28,918,19,80
29-Mar-20,29,1024,27,96
30-Mar-20,30,1251,32,102
31-Mar-20,31,1397,35,124
01-Apr-20,32,1834,41,144
02-Apr-20,33,2069,53,156
03-Apr-20,34,2547,62,163
04-Apr-20,35,3072,75,213
05-Apr-20,36,3577,83,275
06-Apr-20,37,4281,111,319
07-Apr-20,38,4789,124,353
08-Apr-20,39,5274,149,411
09-Apr-20,40,5865,169,478
10-Apr-20,41,6761,206,516
11-Apr-20,42,7529,242,653
12-Apr-20,43,8447,273,765
13-Apr-20,44,9352,324,980
14-Apr-20,45,10815,353,1190
15-Apr-20,46,11933,392,1344
16-Apr-20,47,12759,420,1515
17-Apr-20,48,13835,452,1767
18-Apr-20,49,14792,488,2015
19-Apr-20,50,16116,519,2302
20-Apr-20,51,17656,559,2842
21-Apr-20,52,18985,603,3260
22-Apr-20,53,20471,652,3960
23-Apr-20,54,21700,686,4325
24-Apr-20,55,23452,723,4814
25-Apr-20,56,24942,779,5210
26-Apr-20,57,26917,826,5914
27-Apr-20,58,28380,886,6362
28-Apr-20,59,29974,937,7027
29-Apr-20,60,31787,1008,7797
30-Apr-20,61,33610,1075,8337
01-May-20,62,35365,1152,9065
02-May-20,63,37776,1223,10018
03-May-20,64,40263,1306,10887
04-May-20,65,42836,1389,11762
05-May-20,66,46711,1583,13161
06-May-20,67,49391,1694,14183
07-May-20,68,52952,1783,15267
08-May-20,69,56342,1886,16540
09-May-20,70,59662,1981,17847
10-May-20,71,62939,2109,19358
11-May-20,72,67152,2206,20917
12-May-20,73,70756,2293,22455
13-May-20,74,74281,2415,24386
14-May-20,75,78003,2549,26235
15-May-20,76,81970,2649,27920
16-May-20,77,85940,2752,30153
17-May-20,78,90927,2872,34109
18-May-20,79,96169,3029,36824
19-May-20,80,101139,3163,39174
20-May-20,81,106750,3303,42298
21-May-20,82,112359,3435,45300
22-May-20,83,118447,3583,48534
23-May-20,84,125101,3720,51784
24-May-20,85,131868,3867,54441
25-May-20,86,138845,4021,57721
26-May-20,87,145380,4167,60491
27-May-20,88,151767,4337,64426
28-May-20,89,158333,4531,67692
29-May-20,90,165799,4706,71106
30-May-20,91,173763,4971,82370
31-May-20,92,182143,5164,86984
01-Jun-20,93,190535,5394,91819
02-Jun-20,94,198706,5598,95527
03-Jun-20,95,207615,5815,100303
04-Jun-20,96,216919,6075,104107
05-Jun-20,97,226770,6348,109462
06-Jun-20,98,236657,6642,114073
07-Jun-20,99,246628,6929,119293
08-Jun-20,100,256611,7200,124430
09-Jun-20,101,266598,7471,129314
10-Jun-20,102,276583,7745,135206
11-Jun-20,103,286579,8102,141029
12-Jun-20,104,297535,8498,147195
13-Jun-20,105,308993,8884,154330
14-Jun-20,106,320922,9195,162379
15-Jun-20,107,332424,9520,169798
16-Jun-20,108,343091,9900,180013
